"Druance","Druance"
"Benaize","Benaize"
"Salleron","Salleron"
"Dives","Dives"
"Oudon","Oudon"
"Petit Lay","Petit Lay"
"canal de Nantes","canal de Nantes"
"Vilaine","Vilaine"
"Oise","Oise"
"Eure","Eure"
"Selune","Selune"
"Airon","Airon"
"Gouessant","Gouessant"
"Cantache","Cantache"
"Veuvre [Le Chevré]","Veuvre [Le Chevré]"
"Ille","Ille"
"Illet","Illet"
"canal d'Ille et Rance [L'Ille]","canal d'Ille et Rance [L'Ille]"
"Flume","Flume"
"Meu","Meu"
"Garun","Garun"
"Ise","Ise"
"Seiche","Seiche"
"Vire","Vire"
"Souleuvre","Souleuvre"
"Oust","Oust"
"Aff","Aff"
"Chère","Chère"
"Fouzon","Fouzon"
"Théols","Théols"
"Rère","Rère"
"Anglin","Anglin"
"Gartempe","Gartempe"
"Indre","Indre"
"Vauvre","Vauvre"
"Creuse","Creuse"
"Petite Creuse","Petite Creuse"
"Brame","Brame"
"Loire","Loire"
"Bouzanne","Bouzanne"
"Vienne","Vienne"
"Yerre","Yerre"
"Loir","Loir"
"Braye","Braye"
"Veuve","Veuve"
"Escotais","Escotais"
"Mayenne","Mayenne"
"Varenne","Varenne"
"Ernée","Ernée"
"Jouanne","Jouanne"
"Sèvre niortaise","Sèvre niortaise"
"Boutonne","Boutonne"
"Thouet","Thouet"
"Seine","Seine"
"Cher","Cher"
"Vendée","Vendée"
"Iton","Iton"
"Auxance [bras principal]","Auxance [bras principal]"
"Sèvre Nantaise","Sèvre Nantaise"
"Noireau","Noireau"
"Aune","Aune"
"Argos","Argos"
"Logne","Logne"
"Sarthe","Sarthe"
"Maine","Maine"
"Valière","Valière"
"Don","Don"
"Vendelogne","Vendelogne"
"Huisne","Huisne"
"Cisse","Cisse"
"Orne Saosnoise","Orne Saosnoise"
"Lay [Grand]","Lay [Grand]"
"Mère","Mère"
"Vère","Vère"
"Vicoin","Vicoin"
"Sienne","Sienne"
"Beuvron","Beuvron"
"Cosson","Cosson"
"Brenne","Brenne"
"Semnon","Semnon"
"Echandon","Echandon"
"Orne","Orne"
"Orge","Orge"
"Rémarde","Rémarde"
"Epte","Epte"
"Blaise","Blaise"
"Mauldre","Mauldre"
"Drouette","Drouette"
"ru de Gally","ru de Gally"
"Aubette","Aubette"
"Avre","Avre"
"Rouloir","Rouloir"
"Guiel","Guiel"
"Charentonne","Charentonne"
"Risle","Risle"
"Orbiquet","Orbiquet"
"Touques","Touques"
"Ure","Ure"
"Cance","Cance"
"Vie","Vie"
"Laizon","Laizon"
"Odon","Odon"
"Rouvre","Rouvre"
"Calonne","Calonne"
"Udon","Udon"
"Ante","Ante"
"Clain","Clain"
"Vonne","Vonne"
"Boivre","Boivre"
"Layon","Layon"
"Merdereau","Merdereau"
"Même","Même"
"Tortue","Tortue"
"Roule Crotte","Roule Crotte"
"Erve","Erve"
"Ozanne","Ozanne"
"Cébron","Cébron"
"Chéran","Chéran"
"Verzée","Verzée"
"Aubance","Aubance"
"Erdre","Erdre"
"Argenton","Argenton"
"Vègre","Vègre"
"Moine","Moine"
"Lambon","Lambon"
"Chambon","Chambon"
"Egray","Egray"
"Lay","Lay"
"Charente","Charente"
"Juine","Juine"
"canal d'Ille et Rance","canal d'Ille et Rance"
"Sauldre","Sauldre"
"Arnon","Arnon"
"Indrois","Indrois"
"Chapeauroux","Chapeauroux"
"Réal Collobrier","Réal Collobrier"
"Lot","Lot"
"Clamouse","Clamouse"
"Guiers","Guiers"
"Langouyrou","Langouyrou"
"Ouvèze","Ouvèze"
"Toulourenc","Toulourenc"
"Eyrieux","Eyrieux"
"Rhône","Rhône"
"Ardèche","Ardèche"
"Volane","Volane"
"Chassezac","Chassezac"
"Sumène","Sumène"
"Arzon","Arzon"
"Ramel","Ramel"
"Lignon","Lignon"
"Gage","Gage"
"Semène","Semène"
"Allier","Allier"
"Donozau","Donozau"
"Ance [du sud]","Ance [du sud]"
"Dore","Dore"
"Mimente","Mimente"
"Jabron","Jabron"
"Lez","Lez"
"Aigue","Aigue"
"Drac","Drac"
"Arc","Arc"
"Isère","Isère"
"Bourne","Bourne"
"Herbasse","Herbasse"
"Verdon","Verdon"
"Durance","Durance"
"Siagne","Siagne"
"Loup","Loup"
"Var","Var"
"Vieux Vistre","Vieux Vistre"
"Esteron","Esteron"
"Rhony","Rhony"
"Touloubre","Touloubre"
"Cadière","Cadière"
"Huveaune","Huveaune"
"Gapeau","Gapeau"
"Caramy","Caramy"
"Argens","Argens"
"Giscle","Giscle"
"Dolore","Dolore"
"Baume","Baume"
"Doron de Bozel","Doron de Bozel"
"Joyeuse","Joyeuse"
"Bréda","Bréda"
"Tarnon","Tarnon"
"Issole","Issole"
"Aille","Aille"
"Réal Martin","Réal Martin"
"Bresque","Bresque"
"Reyran","Reyran"
"Gazeille","Gazeille"
"Laussonne","Laussonne"
"Buëch","Buëch"
"Furan","Furan"
"Coise","Coise"
"Bonson","Bonson"
"Mare","Mare"
"Ennuye","Ennuye"
"Luech","Luech"
"Doron de Termignon","Doron de Termignon"
"Tarn","Tarn"
"Doux","Doux"
"Hien","Hien"
"Roubion","Roubion"
"Gier","Gier"
"Drôme","Drôme"
"Gard","Gard"
"Gardon de Saint-Jean","Gardon de Saint-Jean"
"Gard [Gardon réunis]","Gard [Gardon réunis]"
"Gardon d'Alès","Gardon d'Alès"
"Bourbre","Bourbre"
"Guiers Vif","Guiers Vif"
"Chassezac [Chassezac]","Chassezac [Chassezac]"
"Sanne","Sanne"
"Ay","Ay"
"Doron de Belleville","Doron de Belleville"
"Gagne","Gagne"
"Borne","Borne"
"Dunières","Dunières"
"Ance","Ance"
"Cèze","Cèze"
"Ubaye","Ubaye"
"Coulon","Coulon"
"Sorgue de Velleron","Sorgue de Velleron"
"Arvan","Arvan"
"Gélon","Gélon"
"Romanche","Romanche"
"Mosson","Mosson"
"Hérault","Hérault"
"Vis","Vis"
"Lirou","Lirou"
"Arre","Arre"
"Nartuby","Nartuby"
"Endre","Endre"
"Môle","Môle"
"Agay [Le Grenouiller]","Agay [Le Grenouiller]"
"Vidourle","Vidourle"
"Rieu Massel","Rieu Massel"
"Crieulon","Crieulon"
"Dolaizon","Dolaizon"
"Vésubie","Vésubie"
"Tinée","Tinée"
"Ecaillon","Ecaillon"
"Divette","Divette"
"canal du Nord","canal du Nord"
"Sambre canalisée","Sambre canalisée"
"Serre","Serre"
"Lys","Lys"
"Clarence","Clarence"
"Bourre","Bourre"
"Lawe","Lawe"
"Aa canalisée","Aa canalisée"
"Liane","Liane"
"Canche","Canche"
"Ternoise","Ternoise"
"Course","Course"
"Aa","Aa"
"Hem","Hem"
"Yser","Yser"
"Peene Becque","Peene Becque"
"Ey Becque","Ey Becque"
"Slack","Slack"
"Wimereux","Wimereux"
"Bresle","Bresle"
"Aisne [partielle]","Aisne [partielle]"
"rigole d'alimentation de Berry-au-Bac","rigole d'alimentation de Berry-au-Bac"
"Ton","Ton"
"Ailette","Ailette"
"Helpe Majeure","Helpe Majeure"
"courant de Coutiches","courant de Coutiches"
"Solre","Solre"
"Somme canalisée","Somme canalisée"
"Helpe Mineure","Helpe Mineure"
"Cligneux","Cligneux"
"Rhonelle","Rhonelle"
"Hogneau","Hogneau"
"Scarpe canalisée","Scarpe canalisée"
"Escaut canalisée","Escaut canalisée"
"Marque","Marque"
"Laquette","Laquette"
"Authie","Authie"
"Somme","Somme"
"Selle","Selle"
"Ancre","Ancre"
"Nièvre","Nièvre"
"Hallue","Hallue"
"Andelle","Andelle"
"Aronde","Aronde"
"Aisne","Aisne"
"Verse","Verse"
"Petit Therain","Petit Therain"
"Avelon","Avelon"
"Therain","Therain"
"Sensée","Sensée"
"Meuse","Meuse"
"Viroin","Viroin"
"Houille","Houille"
"Voulzie","Voulzie"
"Chiers","Chiers"
"Crusnes","Crusnes"
"Semoy","Semoy"
"Petit Morin","Petit Morin"
"Yerres","Yerres"
"Reveillon","Reveillon"
"Surmelin","Surmelin"
"Marne","Marne"
"Grand Morin","Grand Morin"
"Aubetin","Aubetin"
"Rognon","Rognon"
"Manoise","Manoise"
"Sausseron","Sausseron"
"Armance","Armance"
"Suize","Suize"
"Essonne","Essonne"
"Saulx","Saulx"
"Vesle","Vesle"
"Crise","Crise"
"Seine [partielle]","Seine [partielle]"
"Orvanne","Orvanne"
"Othain","Othain"
"Fusain","Fusain"
"Breche","Breche"
"Thérouanne","Thérouanne"
"Ru de Vaux","Ru de Vaux"
"Vence","Vence"
"Sormonne","Sormonne"
"Bar","Bar"
"Loing","Loing"
"Yonne","Yonne"
"Vanne","Vanne"
"Cléry","Cléry"
"Lunain","Lunain"
"ru d'Ancoeur","ru d'Ancoeur"
"Yvette","Yvette"
"Ource","Ource"
"Barse","Barse"
"Voire","Voire"
"Aube","Aube"
"Superbe","Superbe"
"Ardusson","Ardusson"
"Aujon","Aujon"
"Hozain","Hozain"
"Aube [partielle]","Aube [partielle]"
"Bezonde","Bezonde"
"Ornain","Ornain"
"Traire","Traire"
"Semoigne","Semoigne"
"Chée","Chée"
"Aire","Aire"
"Automne","Automne"
"Soude","Soude"
"Suippe","Suippe"
"Vaux","Vaux"
"Bruxenelle","Bruxenelle"
"Loison","Loison"
"Armançon","Armançon"
"Yron","Yron"
"Moselotte","Moselotte"
"Liepvrette","Liepvrette"
"Bechine","Bechine"
"Giessen","Giessen"
"Mossig","Mossig"
"Neune","Neune"
"Vologne","Vologne"
"Doller","Doller"
"Ill","Ill"
"Lauch","Lauch"
"Moselle","Moselle"
"Bruche","Bruche"
"Zinsel du Sud","Zinsel du Sud"
"Madon","Madon"
"Meurthe","Meurthe"
"Plaine","Plaine"
"Vezouze","Vezouze"
"Mortagne","Mortagne"
"Sanon","Sanon"
"Esch","Esch"
"Rupt de Mad","Rupt de Mad"
"Sarre","Sarre"
"Andlau","Andlau"
"Horn","Horn"
"Thur","Thur"
"Blies","Blies"
"Mouzon","Mouzon"
"Vair","Vair"
"Aroffe","Aroffe"
"Saône","Saône"
"Coney","Coney"
"Ognon","Ognon"
"Arentèle","Arentèle"
"Sarre Rouge","Sarre Rouge"
"Nied Française","Nied Française"
"Woigot","Woigot"
"Avière","Avière"
"Cleurie","Cleurie"
"Veymerange","Veymerange"
"Seille","Seille"
"Canner","Canner"
"Fensch","Fensch"
"Gitte","Gitte"
"Vallée","Vallée"
"Rosselle","Rosselle"
"Petite Seille","Petite Seille"
"Kiesel","Kiesel"
"Nied Allemande","Nied Allemande"
"Kayl","Kayl"
"Laignes","Laignes"
"Combeauté","Combeauté"
"Sémouse","Sémouse"
"Petite Fecht","Petite Fecht"
"Fecht","Fecht"
"Chiers [La Messancy]","Chiers [La Messancy]"
"Breuchin","Breuchin"
"Zorn","Zorn"
"Weiss","Weiss"
"Isch","Isch"
"Albe","Albe"
"Eichel","Eichel"
"Tech","Tech"
"Cady","Cady"
"Castellane","Castellane"
"Orb","Orb"
"Vernazobre","Vernazobre"
"Ariège","Ariège"
"Grand Hers","Grand Hers"
"Dourbie","Dourbie"
"Viaur","Viaur"
"Cernon","Cernon"
"Dourdou","Dourdou"
"Sorgues","Sorgues"
"Rance","Rance"
"Agout","Agout"
"Gijou","Gijou"
"Thoré","Thoré"
"Sor","Sor"
"Cérou","Cérou"
"Baillaury","Baillaury"
"Massane","Massane"
"Canterrane","Canterrane"
"Réart","Réart"
"Têt","Têt"
"Têt [partielle]","Têt [partielle]"
"Fresquel","Fresquel"
"Aude","Aude"
"Dourdou [du Tarn]","Dourdou [du Tarn]"
"Orbieu","Orbieu"
"Agly","Agly"
"Berre","Berre"
"Touyre","Touyre"
"Dadou","Dadou"
"Ample","Ample"
"Desix","Desix"
"Bolès [Boulès]","Bolès [Boulès]"
"Verdouble","Verdouble"
"Lentilla [partielle]","Lentilla [partielle]"
"Cesse","Cesse"
"Argent-Double","Argent-Double"
"Lampy","Lampy"
"Orbiel","Orbiel"
"Lauquet","Lauquet"
"Sou","Sou"
"Sals","Sals"
"Peyne","Peyne"
"Lergue","Lergue"
"Jaur","Jaur"
"Boulzane","Boulzane"
"Bourbeuse","Bourbeuse"
"Traubach","Traubach"
"Moder","Moder"
"Rhin","Rhin"
"Sauer","Sauer"
"Largue","Largue"
"Ehn","Ehn"
"Falkensteinbach","Falkensteinbach"
"Lanterne","Lanterne"
"Lauter","Lauter"
"Savoureuse","Savoureuse"
"Rosemontoise","Rosemontoise"
"Durgeon","Durgeon"
"Rhôme","Rhôme"
"Gland","Gland"
"Doubs","Doubs"
"Feschotte","Feschotte"
"Allan","Allan"
"Rahin","Rahin"
"Colombine","Colombine"
"Rupt","Rupt"
"Thalbach","Thalbach"
"Augraben","Augraben"
"Bâtard","Bâtard"
"Gourgeonne","Gourgeonne"
"Scey","Scey"
"Lizaine","Lizaine"
"Eberbach","Eberbach"
"Seltzbach","Seltzbach"
"Garonne","Garonne"
"Taurion","Taurion"
"Briance","Briance"
"Neste","Neste"
"Neste du Louron","Neste du Louron"
"Garonne [partielle]","Garonne [partielle]"
"Ger","Ger"
"Salat","Salat"
"Arac","Arac"
"Arize","Arize"
"Vicdessos","Vicdessos"
"Lèze","Lèze"
"Aveyron","Aveyron"
"Bouès","Bouès"
"Isle","Isle"
"Adour","Adour"
"Lées","Lées"
"Loyre","Loyre"
"Côle","Côle"
"Dronne","Dronne"
"Midouze [Le Midou]","Midouze [Le Midou]"
"Vézère","Vézère"
"Nivelle","Nivelle"
"Gave de Pau","Gave de Pau"
"Antenne","Antenne"
"Seugne","Seugne"
"bras de la Seugne","bras de la Seugne"
"Seudre","Seudre"
"Gave de Pau [Les Gaves réunis]","Gave de Pau [Les Gaves réunis]"
"Pique","Pique"
"Bandiat","Bandiat"
"Douze","Douze"
"Arros","Arros"
"Osse","Osse"
"Baïse","Baïse"
"Gave d'Aspe","Gave d'Aspe"
"Bidouze","Bidouze"
"Né","Né"
"Garonne [La Gironde]","Garonne [La Gironde]"
"bras de la Dronne","bras de la Dronne"
"Roseix","Roseix"
"Tude","Tude"
"Saison","Saison"
"Gave d'Oloron [Gave d'Ossau]","Gave d'Oloron [Gave d'Ossau]"
"Loue","Loue"
"Luy","Luy"
"Ouzom","Ouzom"
"Dordogne","Dordogne"
"Nive","Nive"
"Gave d'Oloron","Gave d'Oloron"
"bras de la Gimone","bras de la Gimone"
"Save","Save"
"Gers","Gers"
"Touch","Touch"
"Galage [L'Aiguebelle]","Galage [L'Aiguebelle]"
"Gimone","Gimone"
"Gesse","Gesse"
"Sousson","Sousson"
"Auzoue","Auzoue"
"Hers","Hers"
"Auloue","Auloue"
"Gélise","Gélise"
"Midouze","Midouze"
"Tardoire","Tardoire"
"Nive des Aldudes","Nive des Aldudes"
"Louts","Louts"
"Céou","Céou"
"Arrats","Arrats"
"Echez","Echez"
"canal du Moulin [L'Echez]","canal du Moulin [L'Echez]"
"Auvézère","Auvézère"
"Trottebec","Trottebec"
"Yères","Yères"
"Saâne","Saâne"
"Cailly","Cailly"
"Austreberthe","Austreberthe"
"Lézarde","Lézarde"
"Durdent","Durdent"
"Béthune","Béthune"
"Eaulne","Eaulne"
"Valmont","Valmont"
"Ganzeville","Ganzeville"
"Dun","Dun"
"Commerce","Commerce"
"lac du Bourget","lac du Bourget"
"Barbenan","Barbenan"
"Vouzance","Vouzance"
"Bienne","Bienne"
"Ain","Ain"
"Chalaronne","Chalaronne"
"Brévenne","Brévenne"
"Arve","Arve"
"Usses","Usses"
"Groin","Groin"
"Furans","Furans"
"Tacon","Tacon"
"Toison","Toison"
"Sereine","Sereine"
"Solnan","Solnan"
"Vallière","Vallière"
"Reyssouze","Reyssouze"
"Azergues","Azergues"
"Valserine","Valserine"
"Cuisance","Cuisance"
"Cure","Cure"
"Cousin","Cousin"
"Serein","Serein"
"Oze","Oze"
"Jauron","Jauron"
"Morge","Morge"
"Acolin","Acolin"
"Ixeure","Ixeure"
"Doulon","Doulon"
"Arcueil","Arcueil"
"Alagnon","Alagnon"
"Couze d'Ardes","Couze d'Ardes"
"Eau Mère","Eau Mère"
"Ailloux","Ailloux"
"Aron","Aron"
"Vingeanne","Vingeanne"
"Fier","Fier"
"Ouche","Ouche"
"Grosne","Grosne"
"Suran","Suran"
"Senouire","Senouire"
"Arly","Arly"
"Celle","Celle"
"Canne","Canne"
"Chaise","Chaise"
"canal de Bourgogne","canal de Bourgogne"
"Renaison","Renaison"
"dérivation de Belley","dérivation de Belley"
"Suzon","Suzon"
"Dranse","Dranse"
"Anzon","Anzon"
"Ouanne","Ouanne"
"Furieuse","Furieuse"
"Romanée","Romanée"
"Sauzay","Sauzay"
"Albarine","Albarine"
"Durolle","Durolle"
"Tille","Tille"
"Fillière","Fillière"
"Dessoubre","Dessoubre"
"Giffre","Giffre"
"Drugeon","Drugeon"
"Dranse de Morzine","Dranse de Morzine"
"Menoge","Menoge"
"Ternin","Ternin"
"Aix","Aix"
"Teyssonne","Teyssonne"
"Arconce","Arconce"
"Mesvrin","Mesvrin"
"Ignon","Ignon"
"Clauge","Clauge"
"Flon","Flon"
"Alène","Alène"
"Dragne","Dragne"
"Couzon","Couzon"
"Faye","Faye"
"Besbre","Besbre"
"Jolan","Jolan"
"Andelot","Andelot"
"Bouble","Bouble"
"Sioule","Sioule"
"Queune","Queune"
"Sichon","Sichon"
"Morgon","Morgon"
"Oussière","Oussière"
"Norges","Norges"
"Alagnonnette","Alagnonnette"
"Ardière","Ardière"
"source d'Arcier","source d'Arcier"
"Guye","Guye"
"Loue [source]","Loue [source]"
"Allondon","Allondon"
"Séran","Séran"
"Saine","Saine"
"Vouge","Vouge"
"Sevron","Sevron"
"Gizia","Gizia"
"Dheune","Dheune"
"Veyle","Veyle"
"Semine","Semine"
"Loue [rivière]","Loue [rivière]"
"Bourbince","Bourbince"
"Sornin","Sornin"
"Rhins","Rhins"
"Arroux","Arroux"
"bras de la Boutonne","bras de la Boutonne"
"Odet","Odet"
"Steïr","Steïr"
"Ellé [La Laïta]","Ellé [La Laïta]"
"Gouët","Gouët"
"Ellé","Ellé"
"Aulne","Aulne"
"Jet","Jet"
"Blavet","Blavet"
"Trieux","Trieux"
"Léguer","Léguer"
"Evel","Evel"
"Inam","Inam"
"Isole","Isole"
"Jarlot","Jarlot"
"Queffleuth","Queffleuth"
"Jarlot [La Rivière de Morlaix]","Jarlot [La Rivière de Morlaix]"
"Hyère","Hyère"
"Jonte","Jonte"
"Cère","Cère"
"Seuge","Seuge"
"Allanche","Allanche"
"Céor","Céor"
"Corrèze","Corrèze"
"Alzou","Alzou"
"Roanne","Roanne"
"Cronce","Cronce"
"Colagne","Colagne"
"Desges","Desges"
"Célé","Célé"
"Maronne","Maronne"
"Aubois","Aubois"
"Vauvise","Vauvise"
"Nère","Nère"
"Puiseaux","Puiseaux"
"Moulon","Moulon"
"Auron","Auron"
"Yèvre","Yèvre"
"Petite Sauldre","Petite Sauldre"
"Couze Pavin","Couze Pavin"
"Couze Chambon","Couze Chambon"
"Voueize","Voueize"
"Marmande","Marmande"
"Magieure","Magieure"
"Oeil","Oeil"
"Saint-Bonnette [La Montane]","Saint-Bonnette [La Montane]"
"Bandais","Bandais"
"Saunade","Saunade"
"Tardes","Tardes"
"Sioulet","Sioulet"
"Combade","Combade"
"Rozeille","Rozeille"
"Maulde","Maulde"
"Aumance","Aumance"
"Casaluna","Casaluna"
"Golo","Golo"
"Asco","Asco"
"Gravona","Gravona"
"Restonica","Restonica"
"Vecchio","Vecchio"
"Tavignano","Tavignano"
"Prunelli","Prunelli"
"Bevinco","Bevinco"
"Fium Alto","Fium Alto"
"Rizzanese","Rizzanese"
